,subject,id,author,date,time,content,clean_content,refs,urls,classification
4897,34664894,34669127,Rank 1 Boymoder,2/14/2024,22:19:18,">>34668886it could be, but im 25","
it could be, but im 25",['>>34668886'],[],0
13294,34688644,34688763,Anonymous,2/16/2024,12:52:29,"its not easy to do but you have to choose it. you can stay like you are or you can decide youve had enough. no one can make you do it. people can help, but you have to decide","its not easy to do but you have to choose it. you can stay like you are or you can decide youve had enough. no one can make you do it. people can help, but you have to decide",[],[],0
2359,/sftmg/ — straight ftm general,34674165,Anonymous,2/15/2024,11:29:44,Kinsey 3 and above need not apply.QOTT: Is raping a prostitute assault or robbery? Does the answer change if she’s underage?QOTT2: What would you do with 100 million dollars?,Kinsey 3 and above need not apply.QOTT: Is raping a prostitute assault or robbery? Does the answer change if she’s underage?QOTT2: What would you do with 100 million dollars?,[],[':'],0
5667,34682031,34682228,Rank 1 Boymoder,2/15/2024,21:50:57,">>34682031assuming you mean literal incel not ideologically incel, since i never had a woman hating phasenothing really changed, i guess i understand how annoyingly entitled guys can be for your time, i can only imagine how bad it is irl if i passed","
assuming you mean literal incel not ideologically incel, since i never had a woman hating phasenothing really changed, i guess i understand how annoyingly entitled guys can be for your time, i can only imagine how bad it is irl if i passed",['>>34682031'],[],1
17285,/oldgen/,34693446,Anonymous,2/16/2024,19:26:29,">>34693350i wish i was 20 you fucking ungrateful cunti don't even care about my age beyond the fact that these zoomers have so many trannies to choose from, and are aware of the fact that trannies exist (REAL ones; not ""shemale"" bimbos with bolt-ons) since before they even hit puberty. i am so jealous. enjoy being born in the right generation, unironically","
i wish i was 20 you fucking ungrateful cunti don't even care about my age beyond the fact that these zoomers have so many trannies to choose from, and are aware of the fact that trannies exist (REAL ones; not ""shemale"" bimbos with bolt-ons) since before they even hit puberty. i am so jealous. enjoy being born in the right generation, unironically",['>>34693350'],[],1
14801,Why are there so many trans Na(...),34691319,Anonymous,2/16/2024,16:31:37,>>34690347Hitler was right about the jews and I don’t want to be raped and murdered by third world savages,"
Hitler was right about the jews and I don’t want to be raped and murdered by third world savages",['>>34690347'],[],1
3644,34669784,34671936,Anonymous,2/15/2024,5:54:18,">>34670636Wendy Carlos bitch>>34670617Pretty much thus, I remember reading Rain as a young teen and thinking it was hokey how their entire friend group ended up being assorted queers. Then I hit my mid twenties and it went from being just me and a few other people out to 75% of my alt gamer groups coming out as something by the time they were in their early 30s.","
Wendy Carlos bitch
Pretty much thus, I remember reading Rain as a young teen and thinking it was hokey how their entire friend group ended up being assorted queers. Then I hit my mid twenties and it went from being just me and a few other people out to 75% of my alt gamer groups coming out as something by the time they were in their early 30s.","['>>34670636', '>>34670617']",[],1
14965,34690336,34690600,Anonymous,2/16/2024,15:33:09,>>34690561Nah the gay aoc has colloquially been like 13 years old for ages. Ask Kevin Spacey.,"
Nah the gay aoc has colloquially been like 13 years old for ages. Ask Kevin Spacey.",['>>34690561'],[],0
2881,34679653,34680129,Anonymous,2/15/2024,18:57:59,>>34680107we love a peaked realitypilled rudefem telling the loony troons what's what,"
we love a peaked realitypilled rudefem telling the loony troons what's what",['>>34680107'],[],1
2647,/chasergen/ honeymoon edition,34679260,Anonymous,2/15/2024,17:55:07,">>34679117honorary chaser here, I hope this helps","
honorary chaser here, I hope this helps",['>>34679117'],[],0
